STA,Precip,MaxTemp,MinTemp,MeanTemp,Snowfall,YR,MO,DA,PRCP,MAX,MIN,MEA
10001,1.016,25.55555556,22.22222222,23.88888889,0,42,7,1,0.04,78,72,75
10001,0,28.88888889,21.66666667,25.55555556,0,42,7,2,0,84,71,78
10001,2.54,26.11111111,22.22222222,24.44444444,0,42,7,3,0.1,79,72,76
10001,2.54,26.66666667,22.22222222,24.44444444,0,42,7,4,0.1,80,72,76
10001,0,26.66666667,21.66666667,24.44444444,0,42,7,5,0,80,71,76
10001,0,26.66666667,21.66666667,24.44444444,0,42,7,6,0,80,71,76
10001,T,28.33333333,22.77777778,25.55555556,0,42,7,7,T,83,73,78
10001,3.556,26.66666667,22.22222222,24.44444444,0,42,7,8,0.14,80,72,76
10001,T,27.22222222,22.77777778,25.0,0,42,7,9,T,81,73,77
10001,3.556,25.55555556,21.66666667,23.33333333,0,42,7,10,0.14,78,71,74
10001,0,25.55555556,21.66666667,23.33333333,0,42,7,11,0,78,71,74
10001,0.508,24.44444444,22.22222222,23.33333333,0,42,7,12,0.02,76,72,74
10001,0,26.11111111,21.66666667,23.88888889,0,42,7,13,0,79,71,75
10001,0,26.11111111,22.22222222,24.44444444,0,42,7,14,0,79,72,76
10001,0,25.55555556,22.77777778,24.44444444,0,42,7,15,0,78,73,76
10001,T,26.11111111,21.11111111,23.33333333,0,42,7,16,T,79,70,74
10001,T,28.33333333,22.22222222,25.55555556,0,42,7,17,T,83,72,78
10001,T,26.66666667,21.11111111,23.88888889,0,42,7,18,T,80,70,75
10001,0,27.77777778,21.66666667,24.44444444,0,42,7,19,0,82,71,76
10001,0,26.11111111,20.0,23.33333333,0,42,7,20,0,79,68,74
10001,T,24.44444444,21.66666667,23.33333333,0,42,7,21,T,76,71,74
10001,T,24.44444444,21.11111111,22.77777778,0,42,7,22,T,76,70,73
10001,0,26.66666667,20.55555556,23.33333333,0,42,7,23,0,80,69,74
10001,0,27.22222222,18.88888889,23.33333333,0,42,7,24,0,81,66,74
10001,0,27.22222222,19.44444444,23.33333333,0,42,7,25,0,81,67,74
10001,0,25.55555556,19.44444444,22.22222222,0,42,7,26,0,78,67,72
10001,0,25.55555556,19.44444444,22.77777778,0,42,7,27,0,78,67,73
10001,0,26.66666667,19.44444444,23.33333333,0,42,7,28,0,80,67,74
10001,0,26.66666667,19.44444444,23.33333333,0,42,7,29,0,80,67,74
10001,0,27.22222222,19.44444444,23.33333333,0,42,7,30,0,81,67,74
10001,0,27.22222222,19.44444444,23.33333333,0,42,7,31,0,81,67,74
10001,0,26.11111111,20.0,23.33333333,0,42,8,1,0,79,68,74
10001,0,24.44444444,20.55555556,22.22222222,0,42,8,2,0,76,69,72
10001,0,24.44444444,20.55555556,22.22222222,0,42,8,3,0,76,69,72
10001,0,26.66666667,21.11111111,23.88888889,0,42,8,4,0,80,70,75
10001,T,26.66666667,21.11111111,23.88888889,0,42,8,5,T,80,70,75
10001,0,24.44444444,21.66666667,23.33333333,0,42,8,6,0,76,71,74
10001,T,24.44444444,21.11111111,22.77777778,0,42,8,7,T,76,70,73
10001,0,26.11111111,20.55555556,23.33333333,0,42,8,8,0,79,69,74
10001,0,26.11111111,20.55555556,23.33333333,0,42,8,9,0,79,69,74
10001,0,27.22222222,21.66666667,24.44444444,0,42,8,10,0,81,71,76
10001,0,25.0,21.66666667,23.33333333,0,42,8,11,0,77,71,74
10001,0,25.55555556,20.55555556,23.33333333,0,42,8,12,0,78,69,74
10001,0,25.55555556,20.55555556,23.33333333,0,42,8,13,0,78,69,74
10001,T,25.55555556,20.0,22.77777778,0,42,8,14,T,78,68,73
10001,0.254,25.55555556,17.77777778,21.66666667,0,42,8,15,0.01,78,64,71
10001,0,25.55555556,19.44444444,22.22222222,0,42,8,16,0,78,67,72
10001,T,25.55555556,20.0,22.77777778,0,42,8,17,T,78,68,73
10001,T,26.11111111,20.55555556,23.33333333,0,42,8,18,T,79,69,74
10001,0,27.77777778,20.55555556,24.44444444,0,42,8,19,0,82,69,76
10001,0.508,23.88888889,20.55555556,22.22222222,0,42,8,20,0.02,75,69,72
10001,0.254,32.77777778,20.0,23.33333333,0,42,8,21,0.01,91,68,74
10001,0,27.22222222,20.55555556,23.33333333,0,42,8,22,0,81,69,74
10001,0,25.0,20.55555556,22.77777778,0,42,8,23,0,77,69,73
10001,0,27.77777778,20.55555556,24.44444444,0,42,8,24,0,82,69,76
10001,0,26.66666667,20.0,23.33333333,0,42,8,25,0,80,68,74
10001,0,27.22222222,20.55555556,23.88888889,0,42,8,26,0,81,69,75
10001,0,27.22222222,20.55555556,23.88888889,0,42,8,27,0,81,69,75
10001,T,27.22222222,20.55555556,23.88888889,0,42,8,28,T,81,69,75
10001,T,25.0,21.11111111,23.33333333,0,42,8,29,T,77,70,74
10001,0,27.22222222,20.55555556,23.88888889,0,42,8,30,0,81,69,75
10001,0,27.22222222,21.11111111,23.88888889,0,42,8,31,0,81,70,75
10001,0.254,27.22222222,21.11111111,24.44444444,0,42,9,1,0.01,81,70,76
10001,0.254,27.22222222,22.22222222,25.0,0,42,9,2,0.01,81,72,77
10001,1.778,27.22222222,21.11111111,24.44444444,0,42,9,3,0.07,81,70,76
10001,0,27.22222222,21.11111111,24.44444444,0,42,9,4,0,81,70,76
10001,T,27.22222222,22.22222222,24.44444444,0,42,9,5,T,81,72,76
10001,0,26.66666667,22.22222222,24.44444444,0,42,9,6,0,80,72,76
10001,0.254,26.66666667,21.66666667,24.44444444,0,42,9,7,0.01,80,71,76
10001,0,27.22222222,21.11111111,24.44444444,0,42,9,8,0,81,70,76
10001,T,26.66666667,21.66666667,24.44444444,0,42,9,9,T,80,71,76
10001,0,28.33333333,21.11111111,24.44444444,0,42,9,10,0,83,70,76
10001,0,26.11111111,21.11111111,23.33333333,0,42,9,11,0,79,70,74
10001,T,27.22222222,21.66666667,24.44444444,0,42,9,12,T,81,71,76
10001,T,27.22222222,21.66666667,24.44444444,0,42,9,13,T,81,71,76
10001,1.016,27.77777778,22.77777778,25.55555556,0,42,9,14,0.04,82,73,78
10001,0,27.77777778,22.77777778,25.55555556,0,42,9,15,0,82,73,78
10001,0,30.0,21.66666667,25.55555556,0,42,9,16,0,86,71,78
10001,0,27.77777778,22.22222222,25.0,0,42,9,17,0,82,72,77
10001,0,31.11111111,21.11111111,26.11111111,0,42,9,18,0,88,70,79
10001,0,34.44444444,22.22222222,28.33333333,0,42,9,19,0,94,72,83
10001,T,30.55555556,21.66666667,26.11111111,0,42,9,20,T,87,71,79
10001,T,29.44444444,22.22222222,26.11111111,0,42,9,21,T,85,72,79
10001,T,30.55555556,22.22222222,26.66666667,0,42,9,22,T,87,72,80
10001,0.254,26.11111111,23.33333333,25.0,0,42,9,23,0.01,79,74,77
10001,0,25.55555556,22.22222222,23.88888889,0,42,9,24,0,78,72,75
10001,T,30.55555556,21.66666667,26.11111111,0,42,9,25,T,87,71,79
10001,0,31.66666667,22.22222222,27.22222222,0,42,9,26,0,89,72,81
10001,T,31.66666667,21.11111111,26.66666667,0,42,9,27,T,89,70,80
10001,3.302,32.22222222,20.55555556,26.11111111,0,42,9,28,0.13,90,69,79
10001,0.762,27.77777778,22.22222222,25.0,0,42,9,29,0.03,82,72,77
10001,0,29.44444444,22.22222222,26.11111111,0,42,9,30,0,85,72,79
10001,T,31.11111111,23.33333333,27.22222222,0,42,10,1,T,88,74,81
10001,0,31.11111111,22.77777778,27.22222222,0,42,10,2,0,88,73,81
10001,0,31.11111111,22.22222222,26.66666667,0,42,10,3,0,88,72,80
10001,5.588,27.22222222,21.11111111,23.88888889,0,42,10,4,0.22,81,70,75
10001,0,31.11111111,22.22222222,26.66666667,0,42,10,5,0,88,72,80
10001,0.254,29.44444444,22.22222222,25.55555556,0,42,10,6,0.01,85,72,78
10001,5.08,29.44444444,22.77777778,26.11111111,0,42,10,7,0.2,85,73,79
10001,2.032,28.88888889,20.55555556,25.0,0,42,10,8,0.08,84,69,77
10001,0,31.11111111,22.22222222,26.66666667,0,42,10,9,0,88,72,80
10001,T,30.55555556,22.22222222,26.66666667,0,42,10,10,T,87,72,80
10001,T,27.77777778,21.11111111,24.44444444,0,42,10,11,T,82,70,76
10001,0,30.55555556,21.11111111,25.55555556,0,42,10,12,0,87,70,78
10001,T,30.0,22.77777778,26.11111111,0,42,10,13,T,86,73,79
10001,25.654,27.22222222,22.22222222,24.44444444,0,42,10,14,1.01,81,72,76
10001,T,30.55555556,21.11111111,25.55555556,0,42,10,15,T,87,70,78
10001,T,30.55555556,22.22222222,26.11111111,0,42,10,16,T,87,72,79
10001,40.132,28.88888889,21.66666667,25.55555556,0,42,10,17,1.58,84,71,78
10001,T,30.0,22.22222222,26.11111111,0,42,10,18,T,86,72,79
10001,0.762,30.0,21.66666667,26.11111111,0,42,10,19,0.03,86,71,79
10001,T,29.44444444,22.22222222,26.11111111,0,42,10,20,T,85,72,79
10001,2.032,28.88888889,22.22222222,25.55555556,0,42,10,21,0.08,84,72,78
10001,0,30.0,22.22222222,25.55555556,0,42,10,22,0,86,72,78
10001,0,30.55555556,22.77777778,26.66666667,0,42,10,23,0,87,73,80
10001,T,30.55555556,22.22222222,26.11111111,0,42,10,24,T,87,72,79
10001,0,31.11111111,22.22222222,26.66666667,0,42,10,25,0,88,72,80
10001,0,31.11111111,22.22222222,26.66666667,0,42,10,26,0,88,72,80
10001,0,31.66666667,22.77777778,27.22222222,0,42,10,27,0,89,73,81
10001,0,31.11111111,22.22222222,26.66666667,0,42,10,28,0,88,72,80
10001,0,32.22222222,21.11111111,26.66666667,0,42,10,29,0,90,70,80
10001,0.508,31.66666667,21.66666667,26.66666667,0,42,10,30,0.02,89,71,80
10001,T,30.55555556,20.55555556,25.55555556,0,42,10,31,T,87,69,78
10001,0,31.11111111,23.33333333,27.22222222,0,42,11,1,0,88,74,81
10001,0,31.66666667,22.22222222,26.66666667,0,42,11,2,0,89,72,80
10001,0,31.11111111,22.22222222,26.66666667,0,42,11,3,0,88,72,80
10001,T,30.55555556,22.77777778,26.66666667,0,42,11,4,T,87,73,80
10001,0,31.66666667,22.22222222,26.66666667,0,42,11,5,0,89,72,80
10001,0,32.77777778,22.22222222,27.77777778,0,42,11,6,0,91,72,82
10001,0,31.66666667,23.33333333,27.77777778,0,42,11,7,0,89,74,82
10001,0,31.11111111,22.77777778,26.66666667,0,42,11,8,0,88,73,80
10001,0,31.66666667,22.77777778,27.22222222,0,42,11,9,0,89,73,81
10001,0,32.77777778,22.77777778,27.77777778,0,42,11,10,0,91,73,82
10001,0,32.22222222,23.33333333,27.77777778,0,42,11,11,0,90,74,82
10001,0,32.22222222,22.77777778,27.77777778,0,42,11,12,0,90,73,82
10001,0,32.22222222,22.77777778,27.77777778,0,42,11,13,0,90,73,82
10001,0,32.22222222,22.77777778,27.77777778,0,42,11,14,0,90,73,82
10001,0,32.22222222,22.77777778,27.77777778,0,42,11,15,0,90,73,82
10001,T,32.22222222,22.77777778,27.77777778,0,42,11,16,T,90,73,82
10001,0,32.77777778,23.33333333,27.77777778,0,42,11,17,0,91,74,82
10001,0,31.66666667,23.33333333,27.77777778,0,42,11,18,0,89,74,82
10001,0,31.66666667,22.77777778,27.22222222,0,42,11,19,0,89,73,81
10001,0,31.66666667,23.33333333,27.77777778,0,42,11,20,0,89,74,82
10001,T,32.22222222,22.77777778,27.77777778,0,42,11,21,T,90,73,82
10001,0,31.66666667,21.11111111,26.66666667,0,42,11,22,0,89,70,80
10001,0,32.77777778,23.33333333,27.77777778,0,42,11,23,0,91,74,82
10001,0,32.22222222,23.33333333,27.77777778,0,42,11,24,0,90,74,82
10001,0,33.33333333,23.33333333,28.33333333,0,42,11,25,0,92,74,83
10001,0,32.22222222,22.22222222,27.22222222,0,42,11,26,0,90,72,81
10001,19.05,32.77777778,21.66666667,27.22222222,0,42,11,27,0.75,91,71,81
10001,0,31.11111111,21.66666667,26.66666667,0,42,11,28,0,88,71,80
10001,0,32.22222222,22.77777778,27.77777778,0,42,11,29,0,90,73,82
10001,T,32.77777778,23.33333333,27.77777778,0,42,11,30,T,91,74,82
10001,0,32.22222222,22.22222222,27.22222222,0,42,12,1,0,90,72,81
10001,0,32.77777778,23.33333333,27.77777778,0,42,12,2,0,91,74,82
10001,23.876,31.66666667,19.44444444,25.55555556,0,42,12,3,0.94,89,67,78
10001,0,31.11111111,22.22222222,26.66666667,0,42,12,4,0,88,72,80
10001,0,31.66666667,22.22222222,26.66666667,0,42,12,5,0,89,72,80
10001,0,31.66666667,22.22222222,26.66666667,0,42,12,6,0,89,72,80
10001,0,31.11111111,21.66666667,26.66666667,0,42,12,7,0,88,71,80
10001,0,32.22222222,22.22222222,27.22222222,0,42,12,8,0,90,72,81
10001,0,32.77777778,23.88888889,28.33333333,0,42,12,9,0,91,75,83
10001,4.064,32.77777778,20.0,26.66666667,0,42,12,10,0.16,91,68,80
10001,0,29.44444444,20.0,24.44444444,0,42,12,11,0,85,68,76
10001,0,26.66666667,19.44444444,23.33333333,0,42,12,12,0,80,67,74
10001,0,30.55555556,20.55555556,25.55555556,0,42,12,13,0,87,69,78
10001,0,31.11111111,22.77777778,26.66666667,0,42,12,14,0,88,73,80
10001,2.54,31.11111111,22.22222222,26.66666667,0,42,12,15,0.1,88,72,80
10001,0,30.55555556,22.22222222,26.66666667,0,42,12,16,0,87,72,80
10001,0,31.11111111,22.77777778,26.66666667,0,42,12,17,0,88,73,80
